"Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"Conan","PS3","2007","Action","THQ",0.13,0.15,0,0.06,0.34
"Def Jam Icon","PS3","2007","Action","Electronic Arts",0.16,0.19,0,0.08,0.43
"DiRT","PS3","2007","Racing","Codemasters",0.16,0.67,0,0.23,1.06
"Dynasty Warriors 6","PS3","2007","Action","Tecmo Koei",0.18,0.08,0.41,0.04,0.71
"Dynasty Warriors Gundam","PS3","2007","Action","Tecmo Koei",0.14,0.01,0.31,0.02,0.48
"Enchanted Arms","PS3","2007","Role-Playing","Ubisoft",0.17,0.01,0,0.02,0.2
"Enchanted Arms (JP sales)","PS3","2007","Role-Playing","Ubisoft",0,0,0.04,0,0.04
"EyeCreate","PS3","2007","Misc","Sony Computer Entertainment",0,0.08,0,0.02,0.1
"F.E.A.R.","PS3","2007","Shooter","Vivendi Games",0.18,0.27,0,0.1,0.55
"Fantastic Four: Rise of the Silver Surfer","PS3","2007","Action","Take-Two Interactive",0.12,0.02,0,0.02,0.15
"FIFA Soccer 08","PS3","2007","Sports","Electronic Arts",0.35,1.07,0.02,0.32,1.76
"Folklore","PS3","2007","Role-Playing","Sony Computer Entertainment",0.2,0.05,0.05,0.03,0.33
"Gran Turismo 5 Prologue","PS3","2007","Racing","Sony Computer Entertainment",1.28,1.83,0.57,0.53,4.2
"Guitar Hero III: Legends of Rock","PS3","2007","Misc","Activision",1.4,0.54,0.02,0.3,2.26
"Harry Potter and the Order of the Phoenix","PS3","2007","Action","Electronic Arts",0.18,0.04,0,0.03,0.25
"Heavenly Sword","PS3","2007","Action","Sony Computer Entertainment",0.57,0.73,0.06,0.3,1.66
"Hot Shots Golf: Out of Bounds","PS3","2007","Sports","Sony Computer Entertainment",0.31,0.03,0.76,0.04,1.14
"Imabikisou","PS3","2007","Adventure","Sega",0,0,0.04,0,0.04
"Juiced 2: Hot Import Nights","PS3","2007","Racing","THQ",0.18,0.04,0.01,0.03,0.26
"Kane & Lynch: Dead Men","PS3","2007","Shooter","Eidos Interactive",0.29,0.32,0.01,0.13,0.76
"Lair","PS3","2007","Action","Sony Computer Entertainment",0.36,0.04,0.08,0.04,0.52
"LEGO Star Wars: The Complete Saga","PS3","2007","Action","LucasArts",1.02,0.97,0,0.39,2.38
"Madden NFL 08","PS3","2007","Sports","Electronic Arts",0.89,0.01,0,0.08,0.97
"Major League Baseball 2K7","PS3","2007","Sports","Spike",0.23,0,0,0.02,0.25
"Medal of Honor: Airborne","PS3","2007","Shooter","Electronic Arts",0.25,0.7,0.03,0.25,1.23
"MLB 07: The Show","PS3","2007","Sports","Sony Computer Entertainment",0.29,0,0,0.02,0.31
"MX vs. ATV Untamed","PS3","2007","Racing","THQ",0.35,0.06,0,0.05,0.46
"NASCAR 08","PS3","2007","Racing","Electronic Arts",0.15,0.05,0,0.03,0.23
"NBA 08","PS3","2007","Sports","Sony Computer Entertainment",0.12,0,0,0.01,0.13
"NBA 2K8","PS3","2007","Sports","Take-Two Interactive",0.5,0.01,0,0.05,0.55
"NBA Live 08","PS3","2007","Sports","Electronic Arts",0.56,0.02,0.01,0.05,0.64
"NBA Street Homecourt","PS3","2007","Sports","Electronic Arts",0.12,0.02,0,0.02,0.15
"NCAA Football 08","PS3","2007","Sports","Electronic Arts",0.35,0,0,0.03,0.38
"NCAA March Madness 08","PS3","2007","Sports","Electronic Arts",0.08,0,0,0.01,0.09
"Need for Speed: ProStreet","PS3","2007","Racing","Electronic Arts",0.73,0.92,0.04,0.37,2.05
"NHL 08","PS3","2007","Action","Electronic Arts",0.16,0.06,0,0.03,0.25
"NHL 2K8","PS3","2007","Sports","Take-Two Interactive",0.08,0.01,0,0.01,0.09
"Ninja Gaiden Sigma","PS3","2007","Action","Eidos Interactive",0.57,0.33,0.09,0.16,1.15
"Pirates of the Caribbean: At World's End","PS3","2007","Action","Disney Interactive Studios",0.17,0.41,0,0.15,0.74
"Pro Evolution Soccer 2008","PS3","2007","Sports","Konami Digital Entertainment",0.04,1.1,0.32,0.13,1.59
"Pro Yaky? Spirits 4","PS3","2007","Sports","Konami Digital Entertainment",0,0,0.07,0,0.07
"Ratatouille","PS3","2007","Action","THQ",0.09,0.32,0,0.11,0.52
"Ratchet & Clank Future: Tools of Destruction","PS3","2007","Platform","Sony Computer Entertainment",0.93,1.12,0.08,0.45,2.59
"Record of Agarest War","PS3","2007","Role-Playing","Ghostlight",0,0.03,0.03,0.01,0.07
"Sega Rally Revo","PS3","2007","Racing","Sega",0.07,0.43,0,0.14,0.64
"SingStar","PS3","2007","Misc","Sony Computer Entertainment",0.45,0.58,0,0.13,1.16
"Skate","PS3","2007","Sports","Electronic Arts",0.29,0.05,0,0.04,0.38
"Soldier of Fortune: Payback","PS3","2007","Shooter","Activision",0.12,0.02,0,0.01,0.15
"Spider-Man 3","PS3","2007","Platform","Activision",0.26,0.29,0.02,0.12,0.68
"Stranglehold","PS3","2007","Shooter","Midway Games",0.24,0.03,0,0.03,0.3
"Stuntman: Ignition","PS3","2007","Racing","THQ",0.17,0.26,0,0.1,0.53
"Surf's Up","PS3","2007","Sports","Ubisoft",0.03,0,0,0,0.04
"The BIGS","PS3","2007","Sports","Take-Two Interactive",0.15,0,0,0.01,0.16
"The Darkness","PS3","2007","Shooter","Take-Two Interactive",0.2,0.34,0,0.13,0.67
"The Elder Scrolls IV: Oblivion","PS3","2007","Role-Playing","Ubisoft",1.69,0.87,0.14,0.42,3.12
"The Eye of Judgment","PS3","2007","Misc","Sony Computer Entertainment",0.28,0,0.02,0.03,0.34
"The Godfather: Dons Edition","PS3","2007","Action","Electronic Arts",0.25,0.02,0,0.03,0.29
"The Golden Compass","PS3","2007","Action","Sega",0.14,0.1,0,0.05,0.29
"The Orange Box","PS3","2007","Shooter","Electronic Arts",0.28,0.59,0,0.22,1.08
"The Simpsons Game","PS3","2007","Action","Electronic Arts",0.38,0.37,0,0.15,0.91
"Tiger Woods PGA Tour 08","PS3","2007","Sports","Electronic Arts",0.22,0.38,0,0.14,0.74
"Time Crisis 4","PS3","2007","Shooter","Namco Bandai Games",0.32,0.33,0.05,0.14,0.84
"TimeShift","PS3","2007","Shooter","Vivendi Games",0.14,0.01,0,0.01,0.16
"Tom Clancy's Ghost Recon Advanced Warfighter 2","PS3","2007","Shooter","Ubisoft",0.34,0.48,0.02,0.19,1.04
"Tom Clancy's Rainbow Six: Vegas","PS3","2007","Shooter","Ubisoft",0.47,0.53,0.03,0.22,1.25
"Tom Clancy's Splinter Cell: Double Agent","PS3","2007","Action","Ubisoft",0.2,0.03,0,0.03,0.26
"Tony Hawk's Proving Ground","PS3","2007","Sports","Activision",0.36,0.05,0,0.05,0.45
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)","PS3","2007","Action","Activision",0.32,0.04,0.01,0.04,0.4
"Uncharted: Drake's Fortune","PS3","2007","Action","Sony Computer Entertainment",2.31,1.73,0.12,0.78,4.94
"Unreal Tournament III","PS3","2007","Shooter","Midway Games",0.33,0.24,0,0.11,0.67
"Virtua Fighter 5","PS3","2007","Fighting","Sega",0.29,0.52,0.08,0.2,1.09
"Virtua Tennis 3","PS3","2007","Sports","Sega",0.23,0.59,0.03,0.22,1.06
"Wangan Midnight","PS3","2007","Racing","Genki",0,0,0.03,0,0.03
"Warhawk","PS3","2007","Simulation","Sony Computer Entertainment",0.49,0.39,0,0.17,1.06
"Winning Post 7: Maximum 2007","PS3","2007","Sports","Tecmo Koei",0,0,0.02,0,0.02
"World Series of Poker 2008: Battle for the Bracelets","PS3","2007","Misc","Activision",0.08,0.01,0,0.01,0.1
"World Snooker Championship 2007","PS3","2007","Sports","Sega",0,0.1,0,0,0.1
"WWE SmackDown vs Raw 2008","PS3","2007","Fighting","THQ",0.62,0.5,0.01,0.21,1.33
"007: Quantum of Solace","PS3","2008","Action","Activision",0.43,0.52,0.02,0.2,1.16
"AC/DC LIVE: Rock Band Track Pack","PS3","2008","Misc","MTV Games",0.21,0.01,0,0.02,0.24
"Afrika","PS3","2008","Adventure","Unknown",0.12,0,0.08,0.01,0.21
"Alone in the Dark: Inferno","PS3","2008","Adventure","Atari",0.09,0.03,0,0.02,0.14
"Aquanaut's Holiday: Kakusareta Kiroku","PS3","2008","Adventure","Sony Computer Entertainment",0,0,0.04,0,0.04
"Armored Core: For Answer","PS3","2008","Simulation","Ubisoft",0.06,0.02,0.1,0.01,0.19
"Army of Two","PS3","2008","Shooter","Electronic Arts",0.74,0.26,0.02,0.15,1.17
"Baja: Edge of Control","PS3","2008","Racing","THQ",0.1,0.08,0,0.04,0.21
"Battle Fantasia","PS3","2008","Fighting","505 Games",0,0,0.01,0,0.01
"Battlefield: Bad Company","PS3","2008","Shooter","Electronic Arts",0.76,0.36,0.05,0.18,1.35
"Beijing 2008","PS3","2008","Sports","Sega",0.14,0.54,0.01,0.18,0.87
"BioShock","PS3","2008","Shooter","Take-Two Interactive",0.75,0.49,0.01,0.21,1.45
"Blitz: The League II","PS3","2008","Sports","Midway Games",0.11,0.03,0,0.02,0.16
"Bolt","PS3","2008","Adventure","Disney Interactive Studios",0.12,0.05,0,0.02,0.19
"Brothers in Arms: Hell's Highway","PS3","2008","Shooter","Ubisoft",0.44,0.34,0,0.15,0.93
"Burnout Paradise","PS3","2008","Racing","Electronic Arts",1.01,0.64,0.02,0.3,1.97
"Buzz! Quiz TV","PS3","2008","Misc","Sony Computer Entertainment",0.28,0.48,0,0.14,0.9
"Cabela's Dangerous Hunts 2009","PS3","2008","Sports","Activision Value",0.12,0,0,0.01,0.13
"Call of Duty: World at War","PS3","2008","Shooter","Activision",2.72,1.87,0,0.84,5.43
"Condemned 2: Bloodshot","PS3","2008","Action","Sega",0.17,0.16,0,0.07,0.4
"Conflict: Denied Ops","PS3","2008","Shooter","Eidos Interactive",0.05,0.1,0,0.03,0.19
"Cross Edge","PS3","2008","Role-Playing","Nippon Ichi Software",0.14,0.02,0.05,0.02,0.23
"Dark Sector","PS3","2008","Shooter","D3Publisher",0.23,0.16,0.01,0.07,0.47
"Dead Space","PS3","2008","Action","Electronic Arts",1.05,0.67,0,0.3,2.02
"Devil May Cry 4","PS3","2008","Action","Capcom",0.58,0.46,0.34,0.21,1.59
"Disgaea 3: Absence of Justice","PS3","2008","Role-Playing","Square Enix",0.32,0.04,0.11,0.04,0.51
"Disney Sing It","PS3","2008","Misc","Disney Interactive Studios",0.27,0.07,0,0.04,0.38
"Disney Sing It! High School Musical 3: Senior Year","PS3","2008","Misc","Disney Interactive Studios",0.08,0.26,0,0.07,0.4
"Dragon Ball Z: Burst Limit","PS3","2008","Fighting","Atari",0.22,0.34,0.18,0.12,0.86
"Dynasty Warriors: Gundam 2","PS3","2008","Action","Namco Bandai Games",0.09,0.07,0.32,0.03,0.5
"Enemy Territory: Quake Wars","PS3","2008","Shooter","Activision",0.23,0.07,0,0.04,0.35
"Eternal Sonata","PS3","2008","Role-Playing","Atari",0.19,0.13,0.07,0.06,0.45
"FaceBreaker","PS3","2008","Fighting","Electronic Arts",0.13,0.03,0,0.02,0.17
"Fallout 3","PS3","2008","Role-Playing","Bethesda Softworks",2.15,1.2,0.07,0.59,4.01
"Far Cry 2","PS3","2008","Action","Ubisoft",0.43,0.7,0.01,0.27,1.4
"Ferrari Challenge Trofeo Pirelli","PS3","2008","Racing","System 3 Arcade Software",0,0.03,0,0.01,0.04
"FIFA Soccer 09","PS3","2008","Sports","Electronic Arts",0.48,1.63,0.04,0.43,2.59
"FIFA Street 3","PS3","2008","Sports","Electronic Arts",0.08,0.18,0,0.06,0.33
"Fracture","PS3","2008","Shooter","LucasArts",0.11,0.04,0,0.02,0.17
"G1 Jockey 4 2008","PS3","2008","Sports","Tecmo Koei",0,0.01,0,0,0.01
"Golden Axe: Beast Rider","PS3","2008","Action","Sega",0.13,0.14,0,0.06,0.32
"Grand Theft Auto IV","PS3","2008","Action","Take-Two Interactive",4.76,3.76,0.44,1.62,10.57
"GRID","PS3","2008","Racing","Codemasters",0.31,0.57,0.03,0.2,1.11
"Guitar Hero: Aerosmith","PS3","2008","Misc","Activision",0.73,0.15,0,0.11,0.99
"Guitar Hero: World Tour","PS3","2008","Misc","Activision",1.1,0.56,0,0.27,1.93
"Hail to the Chimp","PS3","2008","Misc","Gamecock",0.05,0,0,0,0.05
"Haze","PS3","2008","Shooter","Ubisoft",0.49,0.33,0.02,0.15,1
"Hellboy: The Science of Evil","PS3","2008","Action","Konami Digital Entertainment",0.13,0.02,0,0.02,0.17
"Initial D: Extreme Stage","PS3","2008","Racing","Sega",0,0,0.08,0,0.08
"Iron Man","PS3","2008","Action","Sega",0.32,0.25,0,0.11,0.68
"Karaoke Revolution Presents American Idol Encore","PS3","2008","Misc","Konami Digital Entertainment",0.08,0,0,0.01,0.09
"Karaoke Revolution Presents American Idol Encore 2","PS3","2008","Misc","Konami Digital Entertainment",0.11,0,0,0.01,0.11
"Kung Fu Panda","PS3","2008","Action","Activision",0.21,0.21,0,0.09,0.52
"Legendary","PS3","2008","Shooter","Atari",0.08,0.03,0,0.02,0.13
"LEGO Batman: The Videogame","PS3","2008","Action","Warner Bros. Interactive Entertainment",0.72,0.42,0,0.19,1.32
"LEGO Indiana Jones: The Original Adventures","PS3","2008","Action","Activision",0.44,0.44,0,0.18,1.06
"LittleBigPlanet","PS3","2008","Platform","Sony Computer Entertainment",2.8,2.05,0.17,0.9,5.92
"Lost Planet: Extreme Condition","PS3","2008","Shooter","Capcom",0.31,0.17,0.07,0.09,0.64
"Lost: Via Domus","PS3","2008","Action","Ubisoft",0.19,0.23,0,0.09,0.51
"Madagascar: Escape 2 Africa","PS3","2008","Action","Activision",0.12,0.08,0,0.04,0.23
"Madden NFL 09","PS3","2008","Sports","Electronic Arts",1.56,0.15,0,0.18,1.89
"Major League Baseball 2K8","PS3","2008","Sports","Bethesda Softworks",0.28,0,0,0.02,0.31
"Mercenaries 2: World in Flames","PS3","2008","Shooter","Electronic Arts",0.29,0.4,0.02,0.16,0.87
"Metal Gear Solid 4: Guns of the Patriots","PS3","2008","Action","Konami Digital Entertainment",2.63,1.74,0.83,0.83,6.03
"Midnight Club: Los Angeles","PS3","2008","Racing","Take-Two Interactive",1.55,0.54,0.05,0.31,2.45
"Mirror's Edge","PS3","2008","Platform","Electronic Arts",0.31,0.59,0.02,0.22,1.14
"MLB 08: The Show","PS3","2008","Sports","Sony Computer Entertainment",0.64,0,0,0.05,0.7
"Monopoly","PS3","2008","Misc","Electronic Arts",0.25,0.06,0,0.04,0.36
"Monster Madness: Grave Danger","PS3","2008","Shooter","SouthPeak Games",0.05,0.01,0,0.01,0.06
"Mortal Kombat vs. DC Universe","PS3","2008","Fighting","Midway Games",1.48,0.3,0,0.22,2
"MotoGP 08","PS3","2008","Racing","Capcom",0.07,0.24,0,0.08,0.39
"MotorStorm: Pacific Rift","PS3","2008","Racing","Sony Computer Entertainment",0.43,0.67,0.02,0.26,1.37
"Naruto: Ultimate Ninja Storm","PS3","2008","Fighting","Namco Bandai Games",0.49,0.35,0.09,0.16,1.08
"NASCAR 09","PS3","2008","Racing","Electronic Arts",0.22,0.01,0,0.02,0.26
"NBA 09: The Inside","PS3","2008","Sports","Sony Computer Entertainment",0.14,0,0,0.01,0.15
"NBA 2K9","PS3","2008","Sports","Take-Two Interactive",0.56,0,0,0.05,0.61
"NBA Ballers: Chosen One","PS3","2008","Sports","Midway Games",0.12,0,0,0.01,0.13
"NBA Live 09","PS3","2008","Sports","Electronic Arts",0.46,0,0.02,0.04,0.52
"NCAA Basketball 09","PS3","2008","Sports","Electronic Arts",0.15,0,0,0.01,0.17
"NCAA Football 09","PS3","2008","Sports","Electronic Arts",0.54,0,0,0.04,0.58
"Need For Speed: Undercover","PS3","2008","Racing","Electronic Arts",0.63,1.02,0.05,0.39,2.08
"NFL Head Coach 09","PS3","2008","Sports","Electronic Arts",0.13,0,0,0.01,0.14
"NFL Tour","PS3","2008","Sports","Electronic Arts",0.1,0.01,0,0.01,0.12
"NHL 09","PS3","2008","Sports","Electronic Arts",0.29,0.02,0,0.03,0.34
"NHL 2K9","PS3","2008","Sports","Take-Two Interactive",0.11,0.01,0,0.01,0.13
"NPPL: Championship Paintball 2009","PS3","2008","Shooter","Activision Value",0.15,0,0,0.01,0.16
"Overlord: Raising Hell","PS3","2008","Action","Codemasters",0.07,0.04,0,0.02,0.13
"PES 2009: Pro Evolution Soccer","PS3","2008","Sports","Konami Digital Entertainment",0.11,1.34,0.4,0.26,2.11
"Prince of Persia","PS3","2008","Action","Ubisoft",0.47,0.41,0.03,0.18,1.08
"Pro Yaky? Spirits 5","PS3","2008","Sports","Konami Digital Entertainment",0,0,0.11,0,0.11
"Pro Yakyuu Spirits 5 Kanzenban","PS3","2008","Sports","Konami Digital Entertainment",0,0,0.03,0,0.03
"Pure","PS3","2008","Racing","Disney Interactive Studios",0.42,0.33,0,0.14,0.9
"Rapala Fishing Frenzy 2009","PS3","2008","Sports","Activision",0.16,0,0,0.01,0.17
"Ratchet & Clank Future: Quest for Booty","PS3","2008","Platform","Sony Computer Entertainment",0.01,0.06,0,0.02,0.09
"Ratchet & Clank: Quest for Booty","PS3","2008","Platform","Sony Computer Entertainment",0,0.53,0,0.04,0.58
"Resistance 2","PS3","2008","Shooter","Sony Computer Entertainment",1.15,0.85,0.1,0.39,2.48
"Rock Band 2","PS3","2008","Misc","MTV Games",1.13,0.2,0,0.16,1.5
"Rock Band Track Pack Volume 2","PS3","2008","Misc","MTV Games",0.11,0,0,0.01,0.13
"Ryu Ga Gotoku Kenzan!","PS3","2008","Adventure","Sega",0,0,0.36,0,0.36
"Saints Row 2","PS3","2008","Action","THQ",0.88,0.54,0.02,0.25,1.69
"SBK Superbike World Championship","PS3","2008","Racing","Black Bean Games",0.12,0.11,0,0.02,0.25
"SCORE International Baja 1000: The Official Game","PS3","2008","Racing","Activision",0.07,0,0,0.01,0.08
"Sega Superstars Tennis","PS3","2008","Sports","Sega",0.13,0.2,0,0.08,0.4
"Shaun White Snowboarding","PS3","2008","Sports","Ubisoft",0.31,0.24,0.01,0.1,0.66
"Sid Meier's Civilization Revolution","PS3","2008","Strategy","Take-Two Interactive",0.49,0.19,0.01,0.1,0.79
"SingStar Abba","PS3","2008","Misc","Sony Computer Entertainment",0.27,0.51,0,0.17,0.95
"SingStar Vol. 2","PS3","2008","Misc","Sony Computer Entertainment",0.29,0.4,0,0.13,0.82
"SingStar Vol. 3","PS3","2008","Misc","Sony Computer Entertainment",0,0.11,0,0.03,0.14
"Siren: Blood Curse","PS3","2008","Action","Sony Computer Entertainment",0,0.17,0.09,0.02,0.28
"SOCOM: U.S. Navy SEALs Confrontation","PS3","2008","Shooter","Sony Computer Entertainment",0.94,0.17,0.02,0.13,1.25
"Sonic Unleashed","PS3","2008","Platform","Sega",0.56,0.33,0.01,0.14,1.03
"SoulCalibur IV","PS3","2008","Fighting","Ubisoft",0.72,0.41,0.14,0.2,1.47
"Spider-Man: Web of Shadows","PS3","2008","Action","Activision",0.2,0.04,0,0.03,0.27
"Star Wars: The Force Unleashed","PS3","2008","Action","LucasArts",1.01,0.9,0,0.37,2.28
"Tears to Tiara: Garland of the Earth","PS3","2008","Strategy","Aqua Plus",0,0,0.08,0,0.08
"The Chronicles of Narnia: Prince Caspian","PS3","2008","Action","Disney Interactive Studios",0.14,0.02,0,0.02,0.17
"The Club","PS3","2008","Shooter","Sega",0.14,0.07,0,0.03,0.23
"The History Channel: Battle for the Pacific","PS3","2008","Shooter","Activision",0.07,0,0,0.01,0.07
"The History Channel: Civil War - Secret Missions","PS3","2008","Shooter","Activision",0.09,0,0,0.01,0.1
"The Incredible Hulk","PS3","2008","Action","Sega",0.22,0.03,0,0.03,0.27
"The Legend of Spyro: Dawn of the Dragon","PS3","2008","Platform","Vivendi Games",0.19,0.19,0,0.08,0.46
"The Rise of the Argonauts","PS3","2008","Role-Playing","Codemasters",0.05,0.12,0,0.03,0.19
"Tiger Woods PGA Tour 09","PS3","2008","Sports","Electronic Arts",0.34,0.22,0,0.1,0.66
"TNA iMPACT!","PS3","2008","Fighting","Midway Games",0.22,0.12,0,0.06,0.41
"Tom Clancy's EndWar","PS3","2008","Strategy","Ubisoft",0.32,0.22,0.01,0.1,0.65
"Tom Clancy's Rainbow Six: Vegas 2","PS3","2008","Shooter","Ubisoft",0.66,0.45,0.04,0.21,1.35
"Tomb Raider: Underworld","PS3","2008","Action","Eidos Interactive",0.45,0.56,0.05,0.22,1.27
"Top Spin 3","PS3","2008","Action","Take-Two Interactive",0.08,0.37,0,0.12,0.57
"Turning Point: Fall of Liberty","PS3","2008","Shooter","Codemasters",0.21,0.01,0,0.02,0.25
"Turok","PS3","2008","Action","Touchstone",0.35,0.22,0.01,0.1,0.68
"UEFA Euro 2008 Austria-Switzerland","PS3","2008","Sports","Electronic Arts",0.08,0.27,0,0.06,0.41
"Valkyria Chronicles","PS3","2008","Role-Playing","Sega",0.71,0.2,0.24,0.13,1.29
"Vampire Rain: Altered Species","PS3","2008","Action","Ignition Entertainment",0.05,0,0,0,0.06
"Viking: Battle for Asgard","PS3","2008","Action","Sega",0.14,0.18,0,0.07,0.39
"Wall-E","PS3","2008","Platform","THQ",0.12,0.21,0,0.08,0.4
"Way of the Samurai 3","PS3","2008","Action","Gamebridge",0.18,0.08,0.22,0.04,0.52
"White Knight Chronicles: International Edition","PS3","2008","Role-Playing","Sony Computer Entertainment",0.33,0.16,0.36,0.08,0.93
"Winning Post 7 Maximum 2008","PS3","2008","Sports","Tecmo Koei",0,0,0.01,0,0.01
"WWE SmackDown vs. Raw 2009","PS3","2008","Fighting","THQ",0.51,0.31,0.01,0.13,0.95
"[Prototype]","PS3","2009","Action","Activision",0.65,0.41,0,0.19,1.24
"3D Dot Game Heroes","PS3","2009","Role-Playing","SouthPeak Games",0.36,0.12,0.03,0.07,0.57
"428: Fuusa Sareta Shibuya de","PS3","2009","Adventure","Spike",0,0,0.02,0,0.02
"50 Cent: Blood on the Sand","PS3","2009","Shooter","THQ",0.1,0.06,0.01,0.03,0.19
"Afro Samurai","PS3","2009","Action","Atari",0.12,0.05,0,0.03,0.2
"Ashes Cricket 2009","PS3","2009","Sports","Codemasters",0,0.16,0,0.02,0.17
"Assassin's Creed II","PS3","2009","Action","Ubisoft",2.54,1.95,0.21,0.87,5.57
"Atelier Rorona: Alchemist of Arland","PS3","2009","Role-Playing","Nippon Ichi Software",0.22,0.12,0.11,0.05,0.5
"Avatar: The Game","PS3","2009","Action","Ubisoft",0.32,0.43,0,0.16,0.91
"Bakugan: Battle Brawlers","PS3","2009","Action","Activision",0.19,0.03,0,0.02,0.24
"Band Hero","PS3","2009","Misc","Activision",0.41,0.24,0,0.11,0.75
"Batman: Arkham Asylum","PS3","2009","Action","Eidos Interactive",2.23,1.34,0.07,0.61,4.25
"Bayonetta","PS3","2009","Action","Sega",0.44,0.41,0.21,0.17,1.23
"Bionic Commando","PS3","2009","Platform","Capcom",0.12,0.17,0.01,0.07,0.37
"BlazBlue: Calamity Trigger","PS3","2009","Fighting","PQube",0.36,0.1,0.06,0.06,0.58
"Borderlands","PS3","2009","Shooter","Take-Two Interactive",1.2,0.62,0,0.29,2.11
"Brutal Legend","PS3","2009","Action","Electronic Arts",0.54,0.28,0,0.13,0.95
"Burnout Paradise: The Ultimate Box","PS3","2009","Racing","Electronic Arts",0,0.06,0.01,0.02,0.09
"Buzz! Brain of the UK","PS3","2009","Misc","Sony Computer Entertainment",0,0.15,0,0.02,0.17
"Buzz! Quiz World","PS3","2009","Misc","Sony Computer Entertainment",0.16,0.58,0,0.2,0.93
